method,start0,start1,iter,x,f_x,dx
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
newton_analytic,-6.2,nan,1,-6.28816780907078,-3.93903758128151,0.0881678090707769
newton_analytic,-6.2,nan,2,-6.28088733186687,-0.0284564614883904,0.00728047720390279
newton_analytic,-6.2,nan,3,-6.28083396600116,-1.52150358956327e-06,5.33658657122515e-05
newton_analytic,-6.2,nan,4,-6.2808339631475,-2.40252262528884e-13,2.8536586427208e-09
newton_analytic,-6.2,nan,5,-6.2808339631475,2.33146835171283e-13,8.88178419700125e-16
